id,rule_type,content,desc
,se_fear,heavy fines,SE fear
,se_fear,system paralysis,SE fear
,se_fear,account lockout,SE fear
,se_fear,audit inspection,SE fear
,se_benefit,Subsidy,SE benefit
,se_benefit,tax refund,SE benefit
,se_benefit,high salary,SE benefit
,se_benefit,free upgrade,SE benefit
,se_benefit,welfare application,SE benefit
,se_benefit,cash return,SE benefit
,se_benefit,special subsidy,SE benefit
,regex_sender,hr-official,Fake sender
,regex_sender,staff-info,Fake sender
,regex_sender,social-tax,Fake sender
,regex_sender,recruit-audit,Fake sender
,regex_sender,employee-file,Fake sender
,regex_sender,payroll-notice,Fake sender
,regex_sender,socialsecurity-fake,Fake sender
,regex_sender,career-rebate,Fake sender
,regex_sender,hr-backend,Fake sender
,regex_sender,tax-notice,Fake sender
,regex_sender,invoice-fake,Fake sender
,regex_sender,finance-transfer,Fake sender
,regex_sender,vat-rebate,Fake sender
,regex_sender,bank-corp,Fake sender
,regex_sender,tax-gov-fake,Fake sender
,regex_sender,supplier-bill,Fake sender
,regex_sender,audit-system,Fake sender
,regex_sender,vpn-login-fake,Fake sender
,regex_sender,cloud-alert,Fake sender
,regex_sender,server-patch,Fake sender
,regex_sender,db-admin,Fake sender
,regex_sender,security-scan,Fake sender
,regex_sender,it-backend,Fake sender
,regex_sender,cloud-bill,Fake sender
,regex_domain,hr-official,Fake domain
,regex_domain,staff-info,Fake domain
,regex_domain,social-tax,Fake domain
,regex_domain,recruit-audit,Fake domain
,regex_domain,employee-file,Fake domain
,regex_domain,payroll-notice,Fake domain
,regex_domain,socialsecurity-fake,Fake domain
,regex_domain,career-rebate,Fake domain
,regex_domain,hr-backend,Fake domain
,regex_domain,tax-notice,Fake domain
,regex_domain,invoice-fake,Fake domain
,regex_domain,finance-transfer,Fake domain
,regex_domain,vat-rebate,Fake domain
,regex_domain,bank-corp,Fake domain
,regex_domain,tax-gov-fake,Fake domain
,regex_domain,supplier-bill,Fake domain
,regex_domain,audit-system,Fake domain
,regex_domain,vpn-login-fake,Fake domain
,regex_domain,cloud-alert,Fake domain
,regex_domain,server-patch,Fake domain
,regex_domain,db-admin,Fake domain
,regex_domain,security-scan,Fake domain
,regex_domain,it-backend,Fake domain
,regex_domain,cloud-bill,Fake domain
,flaw_word,dear user,Flaw word
,flaw_word,click this link,Flaw word
,flaw_word,log in now,Flaw word
,flaw_word,verify your account immediately,Flaw word
,flaw_word,your account will be deleted,Flaw word
,flaw_word,you have won,Flaw word
,flaw_word,limited time offer,Flaw word
,forbid_word,violence,Forbidden
,forbid_word,gambling,Forbidden
,forbid_word,porn,Forbidden
,forbid_word,hack,Forbidden
,forbid_word,drug,Forbidden
,forbid_word,weapon,Forbidden
,trusted_domain,global-corp.com,Trusted domain
,trusted_domain,hr.global-corp.com,Trusted domain
,trusted_domain,finance.global-corp.com,Trusted domain
,trusted_domain,it.global-corp.com,Trusted domain
,trusted_domain,mail.global-corp.com,Trusted domain
,trusted_domain,workspace.global-corp.com,Trusted domain
,trusted_domain,security-training.global-corp.com,Trusted domain
,trusted_domain,pay.global-corp.com,Trusted domain
,trusted_domain,attendance.global-corp.com,Trusted domain
,trusted_domain,account.global-corp.com,Trusted domain
